2454,21834,"0,1123935147","224,98",249299,"0,0009024504711",55454,249299,"0,222439721","7044,96",249299,"0,02825907846",239,50495,"0,004733141895",54,249299,"0,0002166073671",14,249299,"0,00005615746553",270,249299,"0,001083036835",37,249299,"0,0001484161589",,"61,36",0
1116,3214,"0,347230865",1705,275694,"0,006184392841",3566632,275694,"12,93692282","30507,21",275694,"0,1106560535",258,64888,"0,003976081864",57,275694,"0,000206750963",7,275694,"0,00002539046914",533,275694,"0,001933302865",,275694,0,,940,0
153,5102,"0,02998823991","54188,42",1011467,"0,05357408596",8211176,1011467,"8,118085909","6615,7",1011467,"0,006540697818",561,227369,"0,002467354828",102,1011467,"0,0001008436261",27,1011467,"0,00002669390104",1342,1011467,"0,001326785748",940,1011467,"0,0009293432213",,63226,0
319,35961,"0,008870721059",0,86166,0,13898,86166,"0,1612933175",54840,86166,"0,6364459299",98,32387,"0,003025905456",,86166,0,3,86166,"0,00003481651696",97,86166,"0,001125734048",,86166,0,,"10,77",0
0,0,0,0,0,0,0,0,0,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,
1.080,58.378,"0,02","6.028,00",863.600,"0,007",109.144,863.600,"0,13","887,70",863.600,"0,001","1.026,0","175.675,0","0,006",249,863.600,"0,0003",129,863.600,"0,00015",148,863.600,"0,0002",,863.600,"0,0000","0,16",,
5.675,33.594,"0,17","2.748,22",441.064,"0,006",107.713,441.064,"0,24","1.951,62",441.064,"0,004","343,0","87.757,0","0,004",115,441.064,"0,0003",10,441.064,"0,00002",426,441.064,"0,0010",,441.064,"0,0000","0,43",,
20,284,"0,07","605,30",202.196,"0,003",0,202.196,"0,00","1.881,00",202.196,"0,009",,,#DIV/0!,,202.196,"0,0000",,202.196,"0,00000",,202.196,"0,0000",,202.196,"0,0000",#DIV/0!,,
0,0,"0,00","0,00",164.903,"0,000",1.228.891,164.903,"7,45","10.821,50",164.903,"0,066",,,#DIV/0!,,164.903,"0,0000",4,164.903,"0,00002",219,164.903,"0,0013",,164.903,"0,0000",#DIV/0!,,
75,4.187,"0,02","1.263,54",167.220,"0,008",10.632,167.220,"0,06","360,20",167.220,"0,002","227,0","29.690,0","0,008",5,167.220,"0,0000",8,167.220,"0,00005",604,167.220,"0,0036",25,167.220,"0,0001","0,10",,
27,244236,"0,0001105488134",17385,589.097,"0,02951126894",383201,589.097,"0,650488799",26235,589.097,"0,04453426176",414,133684,"0,003096855271",38,589.097,"0,00006450550588",12,589.097,"0,00002037015975",999,589.097,"0,001695815799",34,589.097,"0,00005771545263",,,#DIV/0!
707,4848,"0,1458333333",36273,85626,"0,42362133",0,0,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
490,34959,"0,01401641923",1790,62787,"0,02850908628",0,0,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
